id,desc
109,trai-outgoing-call-barred-by-reliance-jio-even-if-i-have-unlimited-plan-c1799437
110,trai-b106104
111,trai-reliance-jio-billing-fraud-c1795168
112,akoshacom-reliance-jio-phone-online-booking-on-2582017-c1783425
113,reliance-communications-b100118
114,reliance-communications-port-request-not-approved-from-reliance-jio-to-move-to-other-network-service-provider-c1783306
115,rpsl-billdesk-mumbai-in-payment-made-to-reliance-jio-but-never-credited-to-my-jio-no-c1767762
116,trai-b106104
117,trai-reliance-jio-mobile-c1763962
118,trai-b106104
119,trai-pending-reliance-jio-internet-service-complaint-request-id-is-sr00000e0z8z-from-10-days-vikas-aggarwal-phone-no-08527433322-c1756091
120,trai-b106104
121,trai-reliance-jio-mobile-no-portability-c1721977
122,praveen-l-reliance-jio-tower-installation-c1716320
123,reliance-digital-b104202
124,reliance-digital-reliance-jio-executive-at-z-square-kanpur-c1712006
125,trai-b106104
126,trai-reliance-jio-c1710969
127,infiniti-group-received-rs3000-from-me-for-job-in-reliance-jio-c1705028
128,trai-b106104
129,trai-misbehave-by-an-employee-of-reliance-jio-network-department-from-his-mobile-number-78883-99471-c1689669
130,trai-b106104
131,trai-reliance-jio-charging-extra-cost-c1688937
132,ikya-human-capital-solutions-b102801
133,ikya-human-capital-solutions-reliance-jio-c1688582
134,reliance-digital-hrbr-layout-near-kfc-reliance-jio-sim-refund-not-done-after-two-months-also-c1684704
135,bharat-sanchar-nigam-bsnl-b100090
136,bharat-sanchar-nigam-bsnl-calls-to-reliance-jio-not-possible-c1682349
137,billdesk-b100201
138,billdesk-amount-deducted-from-online-account-but-not-get-the-confirmation-sms-from-reliance-jio-c1679420
139,reliance-infocomm-b102788
140,reliance-infocomm-reliance-jio-phone-booking-transaction-failed-but-money-deducted-from-bank-account-c1677654
141,billdesk-b100201
142,billdesk-rs-1500-deducted-fromaccount-without-any-confirmation-of-booking-reliance-jio-phone-c1677111
143,reliance-communications-b100118
144,reliance-communications-1500-rs-deducted-without-confirmation-for-booking-reliance-jio-phone-c1677110
145,billdesk-b100201
146,billdesk-reliance-jio-phone-deducted-500-from-citibank-credit-card-c1677088
147,billdesk-b100201
148,billdesk-reliance-jio-phone-booking-transaction-c1677024
149,billdesk-b100201
150,billdesk-reliance-jio-phone-c1675669
151,indus-towers-b115258
152,indus-towers-reliance-jio-ki-sim-ka-tower-nahi-h-c1671287
153,trai-b106104
154,trai-poor-reliance-jio-network-in-your-area-c1669613
155,paytm-mobile-solutions-b100340
156,paytm-mobile-solutions-reliance-jio-payment-of-rs399-on-aug-6th-2017-uber-debit-on-aug-12th-2017-c1665559
157,billdesk-b100201
158,billdesk-bill-payment-of-reliance-jio-recharge-debited-from-bank-c1653507
159,reliance-communications-b100118
160,reliance-communications-reliance-jio-no-7003521151-c1611186
161,reliance-digital-b104202
162,reliance-digital-reliance-jio-i-am-complaining-about-overcharge-c1610802
163,reliance-infocomm-b102788
164,reliance-infocomm-reliance-jio-towers-wwwreliancejiotowerscom-c1538026
165,paytm-mobile-solutions-b100340
166,paytm-mobile-solutions-reliance-jio-recharge-not-done-and-paytm-deduct-my-balance-and-not-refund-c1537285
167,trai-b106104
168,trai-reliance-to-reliance-jio-portal-problems-c1537044
169,mobikwik-b100174
170,mobikwik-recharge-of-reliance-jio-not-successful-but-402-rupees-deducted-after-complaint-no-reply-no-resolution-c1536156
171,reliane-jio-store-vileparle-east-rude-behavior-of-reliance-jio-store-vileparle-e-c1524605
172,reliance-communications-b100118
173,reliance-communications-authentication-of-reliance-jio-shops-stalls-outlets-c1486945
174,charnock-hospitals-pvt-ltd-reliance-jio-issued-fraud-nos-150-c1475759
175,reliance-infocomm-b102788
176,reliance-infocomm-complaint-is-regarding-the-reliance-jio-network-problem-c1463470
177,reliance-communications-b100118
178,reliance-communications-not-deliver-reliance-jio-sim-c1445893
179,reliance-digital-b104202
180,reliance-digital-reliance-jio-sim-barcode-redeemed-c1409497
181,reliance-digital-b104202
182,reliance-digital-reliance-jio-barcode-already-redeemed-c1406549
183,reliance-communications-b100118
184,reliance-communications-reliance-jio-new-sim-code-error-already-redeemed-c1403037
185,reliance-communications-b100118
186,reliance-communications-reliance-jio-otp-not-delivering-to-other-vodafone-number-on-my-dual-sim-mobile-c1402686
187,reliance-infocomm-b102788
188,reliance-infocomm-reliance-jio-welcome-offer-fraud-c1398435
189,reliance-communications-b100118
190,reliance-communications-reliance-jio-not-activated-c1398180
191,reliance-industries-b113461
192,reliance-industries-reliance-jio-passport-not-accepted-as-id-and-address-proof-c1397999
193,reliance-communications-b100118
194,reliance-communications-non-activation-of-reliance-jio-sim-since-long-c1397815
195,reliance-communications-b100118
196,reliance-communications-reliance-jio-bar-code-coupon-code-55571133940-misused-c1395595
197,reliance-communications-b100118
198,reliance-communications-reliance-jio-bar-code-coupon-code-55531132289-misused-c1395170
199,reliance-communications-b100118
200,reliance-communications-my-reliance-jio-new-num-not-working-c1395142
201,reliance-communications-b100118
202,reliance-communications-about-reliance-jio-sim-c1394426
203,reliance-communications-b100118
204,reliance-communications-reliance-jio-permanently-disconnected-suddenly-c1393962
205,apps-you-need-b115395
206,apps-you-need-my-reliance-jio-wind-4-phone-is-not-repaired-yet-nw-from-last-2-month-c1393037
207,reliance-digital-b104202
208,reliance-digital-reliance-jio-jio-sim-barcode-already-redeemed-c1391698
209,reliance-digital-b104202
210,reliance-digital-reliance-jio-c1386059
211,reliance-digital-b104202
212,reliance-digital-reliance-jio-after-17-days-jio-sim-is-not-active-but-receive-the-order-number-c1385419
213,digital-xpress-mini-kamothe-bothering-customers-for-getting-reliance-jio-sim-card-c1385014
214,reliance-communications-b100118
215,reliance-communications-reliance-jio-coupon-code-already-redeemed-c1384316
216,reliance-communications-b100118
217,reliance-communications-reliance-jio-sim-is-selling-in-black-c1383968
218,reliance-communications-b100118
219,reliance-communications-reliance-jio-about-sim-activation-c1383674
220,reliance-digital-b104202
221,reliance-digital-reliance-jio-and-stores-c1382801
222,reliance-digital-b104202
223,reliance-digital-reliance-jio-executives-c1382596
224,reliance-digital-b104202
225,reliance-digital-reliance-jio-sim-already-redeemed-c1381415
226,reliance-industries-b113461
227,reliance-industries-retailer-sell-reliance-jio-sim-c1380193
228,reliance-digital-b104202
229,reliance-digital-reliance-jio-black-marketing-in-delhi-noida-c1379292
230,reliance-digital-b104202
231,reliance-digital-reliance-jio-4g-sim-c1379260
232,the-american-college-madurai-reliance-jio-sim-activation-c1378971
233,reliance-digital-b104202
234,reliance-digital-reliance-jio-fi-c1377833
235,reliance-infocomm-b102788
236,reliance-infocomm-reliance-jio-sim-and-mifi-device-c1377392
237,reliance-digital-b104202
238,reliance-digital-reliance-jio-sim-is-not-activated-even-after-15-days-c1376500
239,reliance-communications-b100118
240,reliance-communications-reliance-jio-sim-is-not-active-c1376157
241,reliance-communications-b100118
242,reliance-netconnect-reliance-jio-c1375866
243,reliance-digital-b104202
244,reliance-digital-reliance-jio-app-c1375612
245,reliance-communications-b100118
246,reliance-netconnect-reliance-jio-is-not-providing-what-i-should-get-c1375273
247,reliance-digital-b104202
248,reliance-digital-reliance-jio-sim-availability-issue-c1374813
249,reliance-digital-b104202
250,reliance-digital-my-documents-w-r-t-reliance-jio-sim-has-not-been-submitted-to-operator-till-now-c1374129
251,reliance-industries-b113461
252,reliance-industries-reliance-jio-connection-c1373852
253,reliance-digital-b104202
254,reliance-digital-reliance-jio-sim-not-activated-c1373590
255,sangeetha-mobiles-b100213
256,sangeetha-mobiles-reliance-jio-c1373249
257,reliance-communications-b100118
258,reliance-communications-reliance-communications-reliance-jio-sim-black-marketing-by-fake-dealars-c1373083
259,reliance-communications-b100118
260,reliance-communications-reliance-jio-sim-black-marketing-by-fake-dealars-c1372636
261,sangeetha-mobiles-b100213
262,sangeetha-mobiles-delay-in-reliance-jio-sim-activation-c1371848
263,jio-sim-activatioy-reliance-jio-sim-card-not-activated-7000234943-c1370839
264,reliance-infocomm-b102788
265,reliance-infocomm-reliance-jio-jiofi-activation-delay-c1370775
266,reliance-infocomm-b102788
267,reliance-infocomm-reliance-jio-c1370540
268,reliance-communications-b100118
269,reliance-communications-reliance-jio-sim-c1370276
270,manvi-communication-sector-15-noida-taking-unauthorized-charge-500-for-reliance-jio-sim-c1370249
271,reliance-communications-b100118
272,reliance-communications-reliance-jio-sim-not-activated-c1369893
273,reliance-communications-b100118
274,reliance-store-taking-money-for-the-reliance-jio-4g-sim-based-on-model-no-of-sets-c1369560
275,reliance-communications-b100118
276,reliance-netconnect-reliance-jio-free-sim-card-c1369426
277,airtel-b100013
278,airtel-airtel-connection-transfer-case-airtel-charging-rs-25-for-sim-whereas-operators-like-reliance-jio-offer-lte-services-free-c1369408
279,reliance-communications-b100118
280,reliance-communications-reliance-jio-sim-card-not-activated-c1364260
281,piyu-reliance-jio-sim-card-fraud-bscc2016-8459449881-c1362351
282,reliance-communications-b100118
283,reliance-communications-service-issue-of-reliance-jio-shrirampur-dist-ahmednagar-mh-c1356125
284,reliance-digital-b104202
285,reliance-digital-reliance-digitalreliance-jio-not-giving-free-sim-for-lyf-phone-bought-from-online-homeshop18-c1334899
286,reliance-communications-b100118
287,reliance-communications-reliance-jio-lyf-water2-c1304829
288,uhbvn-one-phase-missing-at-reliance-jio-infocomm-ltd-tower-at-pinjore-c1186901
289,reliance-jio-infocomm-b115543
290,jio-4g-network-c2535785
291,reliance-jio-infocomm-b115543
292,reliance-jio-infocomm-mobile-tower-installation-in-residential-and-highly-populated-area-c2535487
293,indian-bank-b111394
294,indian-bank-google-pay-transaction-c2535266
295,reliance-jio-infocomm-b115543
296,reliance-jio-infocomm-tariff-c2534637
297,reliance-jio-infocomm-b115543
298,reliance-jio-infocomm-amount-deducted-from-paytm-but-recharge-not-successful-by-my-jio-apps-c2534281
299,naukricom-b100341
300,naukricom-fake-sms-and-company-c2534076
301,reliance-jio-infocomm-b115543
302,jio-recharge-plans-c2534060
303,reliance-jio-infocomm-b115543
304,reliance-jio-infocomm-recharge-failed-but-amount-debited-c2533507
305,e-meditek-b114032
306,e-meditek-for-medical-insurance-claim-approval-c2533314
307,reliance-jio-infocomm-b115543
308,reliance-jio-infocomm-postpaid-security-amount-not-refunded-c2532845
309,reliance-jio-infocomm-b115543
310,reliance-jio-infocomm-reliance-jio-sms-work-c2532826
311,reliance-jio-infocomm-b115543
312,jio-recharge-failure-c2532050
313,8700045010-8700045010-he-is-a-fake-guy-c2531906
314,united-bank-of-india-ubi-b101272
315,united-bank-of-india-ubi-im-complaining-about-fraud-call-i-have-answered-four-days-ago-c2531731
316,reliance-jio-infocomm-b115543
317,relience-jio-money-deducted-but-recharge-is-not-done-c2531341
318,reliance-jio-infocomm-b115543
319,reliance-jio-infocomm-money-debited-but-recharge-not-successful-c2530936
320,inditab-refund-amount-is-not-credited-c2530740
321,reliance-jio-infocomm-b115543
322,reliance-jio-network-and-internet-problem-c2529780
323,reliance-jio-infocomm-b115543
324,reliance-jio-infocomm-recharge-successful-but-not-showing-in-recharge-history-c2529729
325,reliance-jio-infocomm-b115543
326,reliance-jio-infocomm-jio-data-service-c2529479
327,reliance-jio-infocomm-b115543
328,reliance-jio-infocomm-wrong-recharge-because-of-insufficient-information-on-your-website-c2529481
329,reliance-jio-infocomm-b115543
330,reliance-jio-infocomm-cheating-in-data-consumption-c2528294
331,reliance-jio-infocomm-b115543
332,reliance-jio-infocomm-recharge-done-but-not-reflecting-in-my-recharge-history-or-plans-c2528249
333,reliance-jio-infocomm-b115543
334,jio-mobile-network-speed-and-connection-issue-c2528205
335,reliance-jio-infocomm-b115543
336,reliance-jio-infocomm-amount-deducted-but-jio-not-honouring-recharge-of-rs-394-c2528182
337,reliance-jio-infocomm-b115543
338,jio-recharge-not-successful-i-am-going-to-file-a-case-c2528160
339,reliance-jio-infocomm-b115543
340,jio-jio-recharge-not-reflecting-c2528145
341,reliance-jio-infocomm-b115543
342,reliance-jio-infocomm-recharge-not-reflected-in-myjio-account-c2528143
343,reliance-jio-infocomm-b115543
344,reliance-jio-infocomm-refund-my-amount-c2528139
345,reliance-jio-infocomm-b115543
346,reliance-jio-infocomm-sim-recharge-issue-c2528136
347,reliance-jio-infocomm-b115543
348,reliance-jio-infocomm-recharge-problem-with-jio-c2528129
349,reliance-jio-infocomm-b115543
350,reliance-jio-infocomm-money-deducted-but-recharge-not-shown-in-my-jio-app-c2528118
351,reliance-jio-infocomm-b115543
352,reliance-jio-infocomm-money-is-deducted-from-my-account-but-recharge-is-not-done-c2528115
353,reliance-jio-infocomm-b115543
354,reliance-jio-i-am-complaining-about-charging-issues-c2528114
355,reliance-jio-infocomm-b115543
356,reliance-jio-infocomm-recharge-successful-but-not-recharged-is-showing-c2528111
357,reliance-jio-infocomm-b115543
358,reliance-jio-infocomm-money-is-debited-from-my-account-but-recharge-is-not-done-c2528106
359,reliance-jio-infocomm-b115543
360,reliance-jio-infocomm-jio-recharge-amount-not-transfer-to-jio-account-c2528096
361,reliance-jio-infocomm-b115543
362,reliance-jio-infocomm-amount-debited-but-plan-not-activated-c2528090
363,reliance-jio-infocomm-b115543
364,reliance-jio-infocomm-not-getting-any-confirmation-after-recharge-c2528067
365,reliance-jio-infocomm-b115543
366,reliance-jio-infocomm-amount-debited-from-bank-account-but-there-is-neither-successful-acknowledgement-or-update-from-jio-c2528083
367,reliance-jio-infocomm-b115543
368,reliance-jio-infocomm-wrong-number-recharged-requesting-refund-c2528079
369,reliance-jio-infocomm-b115543
370,reliance-jio-infocomm-jio-network-and-data-speed-problem-c2528077
371,reliance-jio-infocomm-b115543
372,reliance-jio-infocomm-i-used-to-recharge-my-jio-number-using-google-pay-upi-money-is-deducted-but-recharge-is-not-done-c2528069
373,reliance-communications-b100118
374,reliance-communications-recharge-c2528044
375,reliance-jio-infocomm-b115543
376,reliance-jio-infocomm-recharge-successful-but-not-showing-reflecting-in-the-account-history-c2528029
377,reliance-jio-infocomm-b115543
378,reliance-jio-infocomm-recharge-successful-but-not-showing-reflecting-in-the-account-c2528016
379,reliance-jio-infocomm-b115543
380,reliance-jio-infocomm-jio-recharge-1799-rs-c2527998
381,reliance-jio-infocomm-b115543
382,reliance-jio-infocomm-recharge-successful-but-not-activated-bank-account-debited-c2528002
383,reliance-jio-infocomm-b115543
384,reliance-jio-infocomm-amount-debited-from-account-but-recharge-not-done-c2527997
385,reliance-jio-infocomm-b115543
386,reliance-jio-infocomm-no-network-coverage-in-prime-locality-of-bangalore-j-p-nagar-1at-phase-c2527990
387,reliance-jio-infocomm-b115543
388,reliance-jio-infocomm-recharge-done-but-not-recharged-c2527985
389,reliance-jio-infocomm-b115543
390,reliance-jio-infocomm-unsuccessful-recharge-c2527976
391,reliance-jio-infocomm-b115543
392,reliance-jio-infocomm-money-deducted-from-my-bank-but-not-recharged-successfully-done-c2527977
393,reliance-jio-infocomm-b115543
394,reliance-jio-infocomm-balance-deducted-from-bank-but-recharge-not-done-c2527950
395,reliance-jio-infocomm-b115543
396,reliance-jio-infocomm-recharge-done-but-not-activated-c2527925
397,reliance-jio-infocomm-b115543
398,jio-444-plan-recharge-2-times-on-same-number-c2527755
399,reliance-jio-infocomm-b115543
400,reliance-jio-infocomm-network-coverage-of-jio-c2527626
401,reliance-jio-infocomm-b115543
402,reliance-jio-infocomm-jio-complaint-of-network-coverage-c2527604
403,reliance-jio-infocomm-b115543
404,reliance-jio-infocomm-very-slow-internet-like-kilobytes-c2527562
405,reliance-jio-infocomm-b115543
406,reliance-jio-infocomm-complaint-of-network-coverage-in-ahmednagar-jio-c2527480
407,reliance-jio-infocomm-b115543
408,reliance-jio-infocomm-my-online-recharge-is-successful-on-my-jio-mobile-but-not-received-any-recharge-c2526671
409,reliance-jio-infocomm-b115543
410,jio-not-refunding-my-security-deposit-c2525373
411,reliance-jio-infocomm-b115543
412,jio-data-gets-completed-exhausted-without-using-that-much-c2524419
413,reliance-jio-infocomm-b115543
414,reliance-jio-infocomm-mobile-no-8949203662-recharged-with-149-rupees-cash-deducted-from-account-but-mobile-did-not-recharge-c2524335
415,reliance-jio-infocomm-b115543
416,reliance-jio-slow-speed-2g-net-instead-of-4g-c2523881
417,reliance-jio-infocomm-b115543
418,reliance-jio-infocomm-recharge-failed-amount-not-refunded-c2523054
419,reliance-jio-infocomm-b115543
420,reliance-jio-infocomm-very-very-slow-internet-c2522770
421,reliance-jio-infocomm-b115543
422,jio-i-am-complaining-as-a-student-c2522184
423,reliance-jio-infocomm-b115543
424,reliance-jio-infocomm-i-have-recharged-with-50-rs-but-unable-to-make-calls-c2521447
425,reliance-jio-infocomm-b115543
426,reliance-jio-infocomm-they-are-offering-a-sms-sending-job-for-jio-c2521196
427,reliance-jio-infocomm-b115543
428,reliance-jio-infocomm-unsolicited-calls-c2520555
429,reliance-jio-infocomm-b115543
430,jio-illegal-construction-of-mobile-phone-tower-c2520231
431,reliance-jio-infocomm-b115543
432,reliance-jio-infocomm-complaint-of-kiran-suvarna-sar-of-jio-c2520191
433,reliance-jio-infocomm-b115543
434,reliance-jio-infocomm-delay-of-tower-installation-c2520142
435,reliance-jio-infocomm-b115543
436,reliance-jio-infocomm-dnd-not-working-after-activation-c2520122
437,reliance-jio-infocomm-b115543
438,reliance-jio-infocomm-amount-charged-double-c2519103
439,reliance-jio-infocomm-b115543
440,reliance-jio-infocomm-9306258743-recharge-successful-but-not-activated-c2518983
441,reliance-jio-infocomm-b115543
442,jio-recharge-refund-c2518928
443,reliance-jio-infocomm-b115543
444,reliance-jio-infocomm-poor-data-services-c2518393
445,reliance-jio-infocomm-b115543
446,reliance-jio-infocomm-issues-relating-network-speed-c2518305
447,reliance-jio-infocomm-b115543
448,jio-payment-was-successful-not-yet-received-recharge-c2518239
449,reliance-jio-infocomm-b115543
450,reliance-jio-infocomm-recharged-in-a-different-jio-number-c2518094
451,reliance-jio-infocomm-b115543
452,reliance-jio-infocomm-limited-jio-tower-installation-c2518060
453,reliance-jio-infocomm-b115543
454,reliance-jio-infocomm-im-unable-to-terminate-my-postpaid-jio-connection-feeling-helpless-c2517690
455,reliance-jio-infocomm-b115543
456,reliance-jio-infocomm-about-my-internet-speed-and-network-issue-c2517683
457,reliance-jio-infocomm-b115543
458,reliance-jio-infocomm-not-providing-services-c2517566
459,reliance-jio-infocomm-b115543
460,jio-about-network-installation-in-residential-area-c2515831
461,reliance-jio-infocomm-b115543
462,jio-poor-internet-c2517398
463,reliance-jio-infocomm-b115543
464,jio-plan-recharge-not-reflecting-after-successful-recharge-receipt-c2516927
465,reliance-jio-infocomm-b115543
466,reliance-jio-infocomm-internet-and-calls-issue-c2516834
467,reliance-jio-infocomm-b115543
468,jio-spam-calls-from-9025229944-c2516798
469,reliance-jio-infocomm-b115543
470,reliance-jio-infocomm-recharge-plan-is-not-activated-c2516236
471,reliance-jio-infocomm-b115543
472,reliance-jio-infocomm-diwali-gift-voucher-not-credited-c2516259
473,reliance-jio-infocomm-b115543
474,reliance-jio-infocomm-jio-phone-gift-has-not-have-at-jio-point-c2516037
475,reliance-jio-infocomm-b115543
476,reliance-jio-infocomm-phone-recharge-not-working-c2515705
477,reliance-jio-infocomm-b115543
478,jio-internet-network-c2514799
479,reliance-jio-infocomm-b115543
480,reliance-jio-infocomm-calls-not-going-to-other-networks-c2514634
481,reliance-jio-infocomm-b115543
482,reliance-jio-infocomm-network-issue-irresponsible-customer-service-c2514589
483,reliance-jio-infocomm-b115543
484,reliance-jio-infocomm-humiliating-internet-speed-with-jio-connection-c2514441
485,reliance-jio-infocomm-b115543
486,jio-amount-deducted-recharge-not-reflected-c2514090
487,reliance-jio-infocomm-b115543
488,jio-jio-4g-mobile-internet-is-very-slow-c2514022
489,reliance-jio-infocomm-b115543
490,reliance-jio-infocomm-recharge-benefit-not-given-to-me-c2513630
491,reliance-jio-infocomm-b115543
492,jio-water-disruption-and-mess-in-front-of-your-house-c2512877
493,reliance-jio-infocomm-b115543
494,reliance-jio-infocomm-recharged-for-wrong-number-c2512678
495,reliance-jio-infocomm-b115543
496,reliance-jio-infocomm-giving-poor-quality-of-4g-speed-in-our-town-c2511103
497,reliance-jio-infocomm-b115543
498,reliance-jio-infocomm-no-network-slow-data-speed-and-waste-of-money-and-time-c2511086
499,reliance-jio-infocomm-b115543
500,reliance-jio-infocomm-wrong-recharge-of-jio-c2511010
501,reliance-jio-infocomm-b115543
502,reliance-jio-infocomm-internet-connection-is-poorest-c2510599
503,airtel-b100013
504,airtel-deteriorating-4g-service-c2510506
505,reliance-jio-infocomm-b115543
506,reliance-jio-infocomm-showing-incorrect-usage-of-data-and-data-exhausted-without-even-using-c2510472
507,reliance-jio-infocomm-b115543
508,jio-internet-slowness-issue-since-1-year-c2509696
509,reliance-jio-infocomm-b115543
510,reliance-jio-infocomm-fraudulent-submission-of-otp-for-hdbfs-by-jio-employee-c2509393
511,reliance-jio-infocomm-b115543
512,reliance-jio-infocomm-poor-network-coverage-and-internet-speed-c2508856
513,reliance-jio-infocomm-b115543
514,reliance-jio-infocomm-delay-from-reliance-jio-tower-installation-process-c2508840
515,reliance-jio-infocomm-b115543
516,reliance-jio-infocomm-delay-for-jio-department-c2508833
517,reliance-jio-infocomm-b115543
518,reliance-jio-infocomm-delay-for-paper-work-of-tower-installation-from-jio-c2508823
519,reliance-jio-infocomm-b115543
520,reliance-jio-infocomm-jio-phone-issue-c2508555
521,bharat-sanchar-nigam-bsnl-b100090
522,bharat-sanchar-nigam-bsnl-bsnl-fooled-me-by-unleashing-1498-plan-c2508482
